OBJECTID,AREA,dcode,dname,dname_e,pcode,no_female,pname,no_male,no_health,no_temple,no_commu,no_hos,no_sch,NUMPOINTS
"29",11804564.00000000,"1025",à¢µºÒ§¾ÅÑ´,Bang Phlat,"10","53750",¡ÃØ§à·¾ÁËÒ¹¤Ã,"46569","1","23","46","0","11",0
"30",16319268.00000000,"1017",à¢µËéÇÂ¢ÇÒ§,Huai Khwang,"10","42026",¡ÃØ§à·¾ÁËÒ¹¤Ã,"35694","2","3","25","0","3",0
"31",17075578.00000000,"1045",à¢µÇÑ§·Í§ËÅÒ§,Wang Thong Lang,"10","62158",¡ÃØ§à·¾ÁËÒ¹¤Ã,"52925","0","1","19","0","3",0
"32",51732144.00000000,"1048",à¢µ·ÇÕÇÑ²¹Ò,Thawi Watthana,"10","40264",¡ÃØ§à·¾ÁËÒ¹¤Ã,"35196","1","3","13","0","6",1
"33",128628048.00000000,"1011",à¢µÅÒ´¡ÃÐºÑ§,Lat Krabang,"10","83816",¡ÃØ§à·¾ÁËÒ¹¤Ã,"77034","2","13","60","1","20",0
"34",8465891.00000000,"1026",à¢µ´Ô¹á´§,Din Daeng,"10","70163",¡ÃØ§à·¾ÁËÒ¹¤Ã,"61684","2","2","22","0","3",1
"35",35767720.00000000,"1019",à¢µµÅÔè§ªÑ¹,Taling Chan,"10","56372",¡ÃØ§à·¾ÁËÒ¹¤Ã,"50414","1","30","43","0","16",0
"36",11329900.00000000,"1002",à¢µ´ØÊÔµ,Dusit,"10","51302",¡ÃØ§à·¾ÁËÒ¹¤Ã,"57513","2","17","45","1","9",0
"37",28068656.00000000,"1044",à¢µÊÐ¾Ò¹ÊÙ§,Saphan Sung,"10","47694",¡ÃØ§à·¾ÁËÒ¹¤Ã,"41224","1","1","28","0","6",0
"39",9214668.00000000,"1014",à¢µ¾­Òä·,Phaya Thai,"10","36894",¡ÃØ§à·¾ÁËÒ¹¤Ã,"36639","2","1","29","0","1",3
"40",12323945.00000000,"1020",à¢µºÒ§¡Í¡¹éÍÂ,Bangkok Noi,"10","62888",¡ÃØ§à·¾ÁËÒ¹¤Ã,"57144","1","32","43","0","15",2
"41",7167652.00000000,"1037",à¢µÃÒªà·ÇÕ,Ratchathewi,"10","38014",¡ÃØ§à·¾ÁËÒ¹¤Ã,"34886","1","4","25","0","4",10
"42",5361067.00000000,"1001",à¢µ¾ÃÐ¹¤Ã,Phra Nakhon,"10","30548",¡ÃØ§à·¾ÁËÒ¹¤Ã,"28223","2","23","21","0","11",0
"43",2504113.00000000,"1008",à¢µ»éÍÁ»ÃÒºÈÑµÃÙ¾èÒÂ,Pom Prap Sattru Phai,"10","26781",¡ÃØ§à·¾ÁËÒ¹¤Ã,"25312","1","11","15","1","4",0
"44",8032768.00000000,"1007",à¢µ»·ØÁÇÑ¹,Parthum Wan,"10","29559",¡ÃØ§à·¾ÁËÒ¹¤Ã,"25437","2","6","16","0","8",3
"45",47890656.00000000,"1040",à¢µºÒ§á¤,Bang Khae,"10","101978",¡ÃØ§à·¾ÁËÒ¹¤Ã,"90298","1","5","47","1","12",0
"46",24113560.00000000,"1034",à¢µÊÇ¹ËÅÇ§,Suanluang,"10","61730",ƒ¡ÃØ§à·¾ÁËÒ¹¤Ã,"53689","2","4","46","0","8",0
"47",12996544.00000000,"1039",à¢µÇÑ²¹Ò,Vadhana,"10","42694",¡ÃØ§à·¾ÁËÒ¹¤Ã,"38153","1","2","17","0","8",0
"48",6298272.00000000,"1016",à¢µºÒ§¡Í¡ãË­è,Bangkok Yai,"10","38845",¡ÃØ§à·¾ÁËÒ¹¤Ã,"35019","1","13","34","0","6",0
"49",19182494.00000000,"1022",à¢µÀÒÉÕà¨ÃÔ­,Phasi Charoen,"10","68937",¡ÃØ§à·¾ÁËÒ¹¤Ã,"61556","2","27","54","0","13",0
"50",1392972.75000000,"1013",à¢µÊÑÁ¾Ñ¹¸Ç§Èì,Samphanthawong,"10","14414",¡ÃØ§à·¾ÁËÒ¹¤Ã,"13587","1","13","19","0","3",0
"51",13240401.00000000,"1033",à¢µ¤ÅÍ§àµÂ,Khlong Toei,"10","57241",¡ÃØ§à·¾ÁËÒ¹¤Ã,"53240","2","3","41","0","4",2
"52",8461864.00000000,"1015",à¢µ¸¹ºØÃÕ,Thon buri,"10","63888",¡ÃØ§à·¾ÁËÒ¹¤Ã,"57651","3","25","45","0","17",1
"53",5965976.00000000,"1018",à¢µ¤ÅÍ§ÊÒ¹,Khlong San,"10","41138",¡ÃØ§à·¾ÁËÒ¹¤Ã,"36333","1","8","44","1","7",1
"54",53728764.00000000,"1032",à¢µ»ÃÐàÇÈ,Pra Wet,"10","83349",¡ÃØ§à·¾ÁËÒ¹¤Ã,"75108","1","6","41","0","16",0
"55",4012576.00000000,"1004",à¢µºÒ§ÃÑ¡,Bang Rak,"10","24348",¡ÃØ§à·¾ÁËÒ¹¤Ã,"21739","1","4","16","0","5",1
"56",36201384.00000000,"1023",à¢µË¹Í§á¢Á,Nong Khaem,"10","78807",¡ÃØ§à·¾ÁËÒ¹¤Ã,"69491","1","7","71","1","6",0
"58",7259143.00000000,"1028",à¢µÊÒ·Ã,Sathon,"10","45097",¡ÃØ§à·¾ÁËÒ¹¤Ã,"41117","1","3","25","0","2",0
"60",12504782.00000000,"1012",à¢µÂÒ¹¹ÒÇÒ,Yan na wa,"10","42966",¡ÃØ§à·¾ÁËÒ¹¤Ã,"39515","2","8","22","0","6",0
"62",23167158.00000000,"1035",à¢µ¨ÍÁ·Í§,Chom Thong,"10","82531",¡ÃØ§à·¾ÁËÒ¹¤Ã,"76115","1","17","53","0","11",0
"63",8312167.00000000,"1031",à¢µºÒ§¤ÍáËÅÁ,Bang Kho laen,"10","50150",¡ÃØ§à·¾ÁËÒ¹¤Ã,"46272","3","11","29","1","7",1
"64",13578695.00000000,"1009",à¢µ¾ÃÐâ¢¹§,Phra Khanong,"10","50796",¡ÃØ§à·¾ÁËÒ¹¤Ã,"43686","2","4","45","0","4",0
"66",12333130.00000000,"1024",à¢µÃÒÉ¯ÃìºÙÃ³Ð,Rat Burana,"10","45552",¡ÃØ§à·¾ÁËÒ¹¤Ã,"42289","2","7","28","0","6",0
"67",35857236.00000000,"1050",à¢µºÒ§ºÍ¹,Bang Bon,"10","54392",¡ÃØ§à·¾ÁËÒ¹¤Ã,"50376","1","2","11","0","8",0
"68",18947526.00000000,"1047",à¢µºÒ§¹Ò,Bang Na,"10","51225",¡ÃØ§à·¾ÁËÒ¹¤Ã,"45814","1","4","40","0","7",1
"69",122207808.00000000,"1021",à¢µºÒ§¢Ø¹à·ÕÂ¹,Bang Khun thain,"10","84668",¡ÃØ§à·¾ÁËÒ¹¤Ã,"76974","1","15","49","0","16",0
"10",36691444.00000000,"1036",à¢µ´Í¹àÁ×Í§,Don Mueang,"10","83519",¡ÃØ§à·¾ÁËÒ¹¤Ã,"82691","1","7","81","0","6",0
"11",240448192.00000000,"1003",à¢µË¹Í§¨Í¡,Nong Chok,"10","78970",¡ÃØ§à·¾ÁËÒ¹¤Ã,"75401","1","16","87","1","37",0
"12",43612880.00000000,"1042",à¢µÊÒÂäËÁ,Sai Mai,"10","98186",¡ÃØ§à·¾ÁËÒ¹¤Ã,"87801","1","8","69","0","9",1
"13",120176920.00000000,"1046",à¢µ¤ÅÍ§ÊÒÁÇÒ,Khlong Sam Wa,"10","86548",¡ÃØ§à·¾ÁËÒ¹¤Ã,"78804","1","10","73","0","18",0
"14",22669208.00000000,"1041",à¢µËÅÑ¡ÊÕè,Lak Si,"10","58013",¡ÃØ§à·¾ÁËÒ¹¤Ã,"53107","1","1","73","0","6",0
"16",40959096.00000000,"1005",à¢µºÒ§à¢¹,Bang Khen,"10","98252",¡ÃØ§à·¾ÁËÒ¹¤Ã,"90000","0","4","74","0","5",1
"20",32656716.00000000,"1030",à¢µ¨µØ¨Ñ¡Ã,Chatu Chak,"10","85223",¡ÃØ§à·¾ÁËÒ¹¤Ã,"76186","1","2","41","0","7",0
"21",25380514.00000000,"1043",à¢µ¤Ñ¹¹ÒÂÒÇ,Khan Na Yao,"10","46450",¡ÃØ§à·¾ÁËÒ¹¤Ãƒ,"40719","0","2","39","0","2",1
"22",61120416.00000000,"1010",à¢µÁÕ¹ºØÃÕ,Min Buri,"10","71556",¡ÃØ§à·¾ÁËÒ¹¤Ã,"64680","1","6","62","0","13",0
"23",21266434.00000000,"1038",à¢µÅÒ´¾ÃéÒÇ,Lat Phrao,"10","66354",¡ÃØ§à·¾ÁËÒ¹¤Ã,"55826","1","4","32","0","6",0
"24",12885789.00000000,"1029",à¢µºÒ§«×èÍ,Bang Sue,"10","70880",¡ÃØ§à·¾ÁËÒ¹¤Ã,"64121","2","9","50","0","7",0
"25",23404956.00000000,"1027",à¢µºÖ§¡ØèÁ,Bueng Kum,"10","78889",¡ÃØ§à·¾ÁËÒ¹¤Ã,"67308","1","5","41","0","8",0
"28",27587404.00000000,"1006",à¢µºÒ§¡Ð»Ô,Bang Kapi,"10","80825",¡ÃØ§à·¾ÁËÒ¹¤Ã,"67820","1","5","28","0","11",0
"72",32950616.00000000,"1049",à¢µ·Øè§¤ÃØ,Thung khru,"10","61249",¡ÃØ§à·¾ÁËÒ¹¤Ã,"54574","2","4","30","0","8",0
